You are here! Congrats, It`s working!
end = 3
begin = 1, i = 1, index = 15
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
end = 7
begin = 6, i = 6, index = 36
entrou
begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
continua -> begin = 7, i = 7, index = 36
end = 8
begin = 7, i = 7, index = 7
entrou
begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
continua -> begin = 8, i = 8, index = 7
end = 9
begin = 8, i = 8, index = 25
entrou
begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
continua -> begin = 9, i = 9, index = 25
end = 10
begin = 9, i = 9, index = 40
entrou
begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
continua -> begin = 10, i = 10, index = 40
end = 11
begin = 10, i = 10, index = 20
entrou
begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
continua -> begin = 11, i = 11, index = 20
end = 12
begin = 11, i = 11, index = 6
entrou
begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
continua -> begin = 12, i = 12, index = 6
end = 13
begin = 12, i = 12, index = 23
entrou
begin = 13, i = 13, index = 23
continua -> begin = 13, i = 13, index = 23
continua -> begin = 13, i = 13, index = 23
continua -> begin = 13, i = 13, index = 23
continua -> begin = 13, i = 13, index = 23
continua -> begin = 13, i = 13, index = 23
continua -> begin = 13, i = 13, index = 23
continua -> begin = 13, i = 13, index = 23
end = 14
begin = 13, i = 13, index = 35
entrou
begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
continua -> begin = 14, i = 14, index = 35
end = 15
begin = 14, i = 14, index = 27
entrou
begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
continua -> begin = 15, i = 15, index = 27
end = 16
begin = 15, i = 15, index = 9
entrou
begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
continua -> begin = 16, i = 16, index = 9
end = 17
begin = 16, i = 16, index = 3
entrou
begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
continua -> begin = 17, i = 17, index = 3
end = 18
begin = 17, i = 17, index = 31
entrou
begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
continua -> begin = 18, i = 18, index = 31
end = 19
begin = 18, i = 18, index = 46
entrou
begin = 19, i = 19, index = 46
continua -> begin = 19, i = 19, index = 46
continua -> begin = 19, i = 19, index = 46
end = 20
begin = 19, i = 19, index = 14
entrou
begin = 20, i = 20, index = 14
continua -> begin = 20, i = 20, index = 14
continua -> begin = 20, i = 20, index = 14
continua -> begin = 20, i = 20, index = 14
continua -> begin = 20, i = 20, index = 14
continua -> begin = 20, i = 20, index = 14
end = 22
begin = 20, i = 20, index = 17
entrou
begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
continua -> begin = 21, i = 21, index = 17
end = 23
begin = 21, i = 21, index = 12
entrou
begin = 22, i = 22, index = 12
end = 23
begin = 22, i = 22, index = 41
entrou
begin = 23, i = 23, index = 41
continua -> begin = 23, i = 23, index = 41
continua -> begin = 23, i = 23, index = 41
continua -> begin = 23, i = 23, index = 41
continua -> begin = 23, i = 23, index = 41
continua -> begin = 23, i = 23, index = 41
continua -> begin = 23, i = 23, index = 41
continua -> begin = 23, i = 23, index = 41
end = 24
begin = 23, i = 23, index = 32
entrou
begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
continua -> begin = 24, i = 24, index = 32
end = 25
begin = 24, i = 24, index = 5
entrou
begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
continua -> begin = 25, i = 25, index = 5
end = 26
begin = 25, i = 25, index = 28
entrou
begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
continua -> begin = 26, i = 26, index = 28
end = 27
begin = 26, i = 26, index = 30
entrou
begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
continua -> begin = 27, i = 27, index = 30
end = 28
begin = 27, i = 27, index = 26
entrou
begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
continua -> begin = 28, i = 28, index = 26
end = 29
begin = 28, i = 28, index = 19
entrou
begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
continua -> begin = 29, i = 29, index = 19
end = 30
begin = 29, i = 29, index = 45
entrou
begin = 30, i = 30, index = 45
continua -> begin = 30, i = 30, index = 45
continua -> begin = 30, i = 30, index = 45
continua -> begin = 30, i = 30, index = 45
continua -> begin = 30, i = 30, index = 45
continua -> begin = 30, i = 30, index = 45
continua -> begin = 30, i = 30, index = 45
end = 31
begin = 30, i = 30, index = 18
entrou
begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
continua -> begin = 31, i = 31, index = 18
end = 32
begin = 31, i = 31, index = 24
entrou
begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
continua -> begin = 32, i = 32, index = 24
end = 33
begin = 32, i = 32, index = 21
entrou
begin = 33, i = 33, index = 21
continua -> begin = 33, i = 33, index = 21
continua -> begin = 33, i = 33, index = 21
end = 34
begin = 33, i = 33, index = 16
entrou
begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
continua -> begin = 34, i = 34, index = 16
end = 35
begin = 34, i = 34, index = 1
entrou
begin = 35, i = 35, index = 1
continua -> begin = 35, i = 35, index = 1
continua -> begin = 35, i = 35, index = 1
continua -> begin = 35, i = 35, index = 1
continua -> begin = 35, i = 35, index = 1
end = 36
begin = 35, i = 35, index = 37
entrou
begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
continua -> begin = 36, i = 36, index = 37
end = 37
begin = 36, i = 36, index = 8
entrou
begin = 37, i = 37, index = 8
continua -> begin = 37, i = 37, index = 8
continua -> begin = 37, i = 37, index = 8
continua -> begin = 37, i = 37, index = 8
continua -> begin = 37, i = 37, index = 8
end = 39
begin = 37, i = 37, index = 11
entrou
begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
continua -> begin = 38, i = 38, index = 11
end = 40
begin = 38, i = 38, index = 2
entrou
begin = 39, i = 39, index = 2
end = 40
begin = 39, i = 39, index = 49
entrou
begin = 40, i = 40, index = 49
continua -> begin = 40, i = 40, index = 49
continua -> begin = 40, i = 40, index = 49
continua -> begin = 40, i = 40, index = 49
continua -> begin = 40, i = 40, index = 49
end = 41
begin = 40, i = 40, index = 33
entrou
begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
continua -> begin = 41, i = 41, index = 33
end = 42
begin = 41, i = 41, index = 38
entrou
begin = 42, i = 42, index = 38
continua -> begin = 42, i = 42, index = 38
end = 43
begin = 42, i = 42, index = 43
entrou
begin = 43, i = 43, index = 43
continua -> begin = 43, i = 43, index = 43
continua -> begin = 43, i = 43, index = 43
